kejia_000001	冇系佢表哥
kejia_000002	一唔讲你安心上课
kejia_000003	啊挨逮的马笨
kejia_000004	老兄啊有念其分啊
kejia_000005	好吧全输咗同系无人呢
kejia_000006	诶嘿俺们想看到啊
kejia_000007	因为寂寞切人自用
kejia_000008	我们一般人可以看的
kejia_000009	哼哼唔使耐啊
kejia_000010	听讲卡萨要跑路了
kejia_000011	淘到数据唔使挨
kejia_000012	我要靠你买啊你唔买
kejia_000013	给我点首歌你听下吧
kejia_000014	你都系好食吧
kejia_000015	你终于让我有点难为你
kejia_000016	在线有都唔讲话啦
kejia_000017	毋爱啊我安尼来同伊唱诶呢
kejia_000018	切好吧我睡了八十八
kejia_000019	还以为你中意佢呢
kejia_000020	这是百度最强大的资质
kejia_000021	今年啊你在哪一年
kejia_000022	幕后诶本款啊
kejia_000023	呢啲都系几可爱矮
kejia_000024	诶给老娘站下来
kejia_000025	俺才不去踢球呢哄奶头
kejia_000026	嗯不要加班咯
kejia_000027	嘿啦又没忘嗯
kejia_000028	乃父也如啲啲卡超般影哒
kejia_000029	温皮儿捡一点吃吃
kejia_000030	快耶马上完了
kejia_000031	嘿啊热呀难熬哦
kejia_000032	因为你的解释
kejia_000033	由我向前看同向后看
kejia_000034	给你嘿去公司了
kejia_000035	太班呀你好忙哦心 q
kejia_000036	五个床嘅门法睇下
kejia_000037	那你就心疼心疼呗
kejia_000038	没先离呀最近开么
kejia_000039	嚟度就红颜知唔差你
kejia_000040	臭诶你明年都要俺来用诶
kejia_000041	鬼年唔会少年
kejia_000042	几点没你很好看啦
kejia_000043	师太考研历年嘅招生人数
kejia_000044	其实也不是十五集是两集
kejia_000045	佢打水嘅时候喊我
kejia_000046	所以不是没得
kejia_000047	可求两套前五
kejia_000048	郭省录吧你昨天用聊过
kejia_000049	嗯嗯好吧早点休息吧晚安
kejia_000050	嗯老师还没嗯上课啊
kejia_000051	讲起暗枪跟无言哀一样
kejia_000052	money系唔够自动登录的
kejia_000053	下个星期给你发工资
kejia_000054	你可爱样诶样诶
kejia_000055	哦等我找人打听问问
kejia_000056	其他情况我也不清楚
kejia_000057	挨闹朋友九月骨唔停踢蒙吧
kejia_000058	哦休息晏昼啊
kejia_000059	汗嘎俺还冇硬座诶
kejia_000060	又没模糊搞诶
kejia_000061	同乐同乐啊唔准来
kejia_000062	吴敏霞艾超聚会
kejia_000063	我会上线修课
kejia_000064	就是看唔出在线唔在线
kejia_000065	挨唔臭诶反正超绝扣诶
kejia_000066	韩系比日前靓啲
kejia_000067	晕虽然不太懂吧
kejia_000068	u 五号用用
kejia_000069	笑啊肯定用唔怕你
kejia_000070	必死不醒俺室友打一上午了
kejia_000071	电源盒同件冇调发哦
kejia_000072	超通土部嚷嚷啊
kejia_000073	老婆我哈哥儿哦
kejia_000074	俺的至少五天干过
kejia_000075	去新疆同婚啊
kejia_000076	唔知诶黯然
kejia_000077	各长啥样子和一款天眼
kejia_000078	哦我系睇魔术嘅
kejia_000079	外星人来韶山点样笑了
kejia_000080	唔瘦吧黑唔叫肉
kejia_000081	擦干还有事做啊
kejia_000082	命苦死了诶
kejia_000083	挨康康嗯邀来嘅
kejia_000084	有机会当然还记得叫起来啊
kejia_000085	以后不会用挂失五级了
kejia_000086	嗯超爱你晚安喵
kejia_000087	路过你床下想看男
kejia_000088	送了就爽啊
kejia_000089	挨中意则唔承认嘅罪吗
kejia_000090	啊首歌来唔长
kejia_000091	哟哟哟俺幸福嗰
kejia_000092	矮嗰只喐你三年记嘅
kejia_000093	你还没哄住诶
kejia_000094	俺不爱汉堡包
kejia_000095	等俺收拾完再请吧
kejia_000096	秋秋嗯也系你同我陈述一样
kejia_000097	勾心聊天
kejia_000098	打啥诶好大声吵诶
kejia_000099	快点消还有吗五天拿到
kejia_000100	俺说的呢皮还会更烂
kejia_000101	话你听有冇眼缘吧
kejia_000102	完全生活在现实世界里
kejia_000103	同我聊天我也十分开心
kejia_000104	佢过来看我我就冇去见佢
kejia_000105	毋捌诶鸟会听无
kejia_000106	俺生病了需要人照顾
kejia_000107	你又五睡么
kejia_000108	一点也不是最好看屁耶
kejia_000109	讲今暗无出门啊
kejia_000110	要阿妹吃爱爱的音乐
kejia_000111	唔啲暖暖将唔会开心么
kejia_000112	有人用俺本机出号嗯
kejia_000113	唔想爱恨系么
kejia_000114	可以看到房里
kejia_000115	记得爱玩手机后
kejia_000116	更是爱神做好准备哦
kejia_000117	有么啊惊喜么今晚不
kejia_000118	很希通手机带几耐
kejia_000119	唔讲麦加油我打电话诶
kejia_000120	我想买三千多左右嘅三星
kejia_000121	电话问问情况同我讲一声
kejia_000122	出去唔顺心超级烦
kejia_000123	我开玩笑孔口子冇闹诶
kejia_000124	工作压力很大诶天光日再聊
kejia_000125	我水木你
kejia_000126	关键呢学教五本演出
kejia_000127	你神经病啊我唔想理你
kejia_000128	哦唔怪得应该回来
kejia_000129	俺其实也挺喜欢养母
kejia_000130	爱上他的俗情的
kejia_000131	等休息几日张工
kejia_000132	还没俺们的
kejia_000133	你真的不认识我吗
kejia_000134	嘿讨厌肯定唔开心啦
kejia_000135	你系唔系路过冇喊细个
kejia_000136	是五香肉丝的吧
kejia_000137	等六十四节检查诶
kejia_000138	我这辈行后面学学
kejia_000139	争空气来上班超爱迟到诶
kejia_000140	下次再聊吧我要睡么
kejia_000141	打唔通诺菲斯
kejia_000142	求不你收到我短信么
kejia_000143	俺东儿搞灰好有意思诶
kejia_000144	火唔太开五度
kejia_000145	在里树买啲面条买啲菜
kejia_000146	我喺上愁但人家唔同我愁啊
kejia_000147	给应该有点生气啊
kejia_000148	不过我愿意让你欺负
kejia_000149	虽然阿公公可能听唔到
kejia_000150	唔开盲肠看下唔超酷热
kejia_000151	算嘞俺唔问嘞
kejia_000152	哇塞班多雷满人哦
kejia_000153	唔通李攀勋买电卡了冇
kejia_000154	嗯行俺上床躺会去
kejia_000155	屁仔肯定上得个靓仔吧
kejia_000156	挨同你学的人打啊我绝对唔晓得
kejia_000157	无名字的记忆
kejia_000158	早晚捱夜讲唔翻就下呗
kejia_000159	我还以为你去抢生奶呢
kejia_000160	服务城航空服务有限公司
kejia_000161	给你秋查诶咋样诶
kejia_000162	不是是真的困了
kejia_000163	你看那你就是没经常运动
kejia_000164	你从来可以欺负俺
kejia_000165	只有自噶系太傻
kejia_000166	同埋啊听原班啊
kejia_000167	店家说些么该方面呢
kejia_000168	网游之嘲讽边传说
kejia_000169	冇水木嘅罕见啊
kejia_000170	给你力高不改系咪
kejia_000171	你每天看到他早多忙诶
kejia_000172	哎娘啊对唔对挨杜姆啊
kejia_000173	见你从那看电视呢
kejia_000174	俺笨答唔得咩
kejia_000175	至少他同你保持次爱
kejia_000176	以站立板一次重拍
kejia_000177	面谈好么
kejia_000178	生气生完你气
kejia_000179	记住条码唔盖码嘅散装
kejia_000180	你这身体有多过猛
kejia_000181	你讲好想好嘅啊
kejia_000182	你系乜人啊你叫咩名啊
kejia_000183	明天我的已经解掉了
kejia_000184	俺电影唔配杯天哦
kejia_000185	姐又靓了
kejia_000186	哎用绵绵希雅嘅职业好吗
kejia_000187	还住你心那诶
kejia_000188	系咪阿妈唔搬钱搬我
kejia_000189	俺们聊会你去聊
kejia_000190	天行卡用什么装呢
kejia_000191	以后俺没机会做快乐
kejia_000192	用品折成折成嘅花还要命么
kejia_000193	镜啊屏都唔摔冇嘅
kejia_000194	你们都为了俺命哦
kejia_000195	嗯差不多你们爱炮兄吗
kejia_000196	朋友嘅唔好嘅做乜嘅
kejia_000197	给水瓶塞
kejia_000198	求喊你下班莫走
kejia_000199	俺低了你的影响啊
kejia_000200	胎儿基本系堕落嘅趋势诶
kejia_000201	闪瞎你的眼唔瘦啊
kejia_000202	俺很愿意离开这里嘞呢
kejia_000203	嗯自己讲嘅很乖哎
kejia_000204	亚嘅秘境同踪踪
kejia_000205	我操你拉尿吧
kejia_000206	快嘞应该有地址啊
kejia_000207	给我生出来都是什么呀
kejia_000208	吴坤道唔知觉得好眼熟咩
kejia_000209	摸摸阿拉斯的反跳跃
kejia_000210	你送出五十副卡
kejia_000211	原来都忘记了
kejia_000212	滴得娘命给
kejia_000213	又想不开呀
kejia_000214	呢只猫年年都定喺进来
kejia_000215	唔做思想工作咩
kejia_000216	竟然看到着别是
kejia_000217	呵呵总会给一给
kejia_000218	一袋食品汤师傅
kejia_000219	上海五角场万达
kejia_000220	爱都唔记得幽默
kejia_000221	爱转不转起雷啊
kejia_000222	唔想转机等下转机咯
kejia_000223	没事啊就会发飙着公公吧
kejia_000224	唔定义双截扣系物理
kejia_000225	目前还有无刀交啊
kejia_000226	唔见噶唔上班呢
kejia_000227	爱看五杂音啊
kejia_000228	不过我对你还系有一点信心
kejia_000229	给酒找点水母吧明天有空
kejia_000230	爱系日日用
kejia_000231	喊口日清几时啊
kejia_000232	嗨呀那么都聪明
kejia_000233	都是研究生了啊
kejia_000234	原版呢你仲会甩唔落啊
kejia_000235	唉唉唉让那班
kejia_000236	今日要不要看小喵诶
kejia_000237	唉挨啊唔想挨
kejia_000238	今日上珠冇课哦
kejia_000239	流产需要休息么
kejia_000240	我无办法面对佢
kejia_000241	听讲你只星期结工资啊
kejia_000242	哭你狗你太有才了
kejia_000243	等下送东西啊哎
kejia_000244	吴丁英今天辛苦
