wuyu_000001	每次娇娇你再唠唠本先生
wuyu_000002	重得要死啥子勿回答我个闲话
wuyu_000003	吃了呢风车马
wuyu_000004	礼拜日多带几个美女
wuyu_000005	胆子好大的人当哇
wuyu_000006	晓得我哪夯看见过你吗
wuyu_000007	西藏人等是死的
wuyu_000008	我是陈可登你是邓开心吧
wuyu_000009	对啊我在洞后
wuyu_000010	都不晓得化成啥个样子了
wuyu_000011	我怎个拿看书啊
wuyu_000012	哦实质上真嘅唔怨我啊
wuyu_000013	侬看侬那哈方便伐
wuyu_000014	没事体的其实吾总想上课的
wuyu_000015	再写点生词也瓦特了
wuyu_000016	三过来抬鱼啊
wuyu_000017	困着了被气醒了哪能办
wuyu_000018	为啥体就不能讲了
wuyu_000019	勿想去就等侬回来
wuyu_000020	我是从小就没爷爷
wuyu_000021	啥个辰光挖机
wuyu_000022	三室两厅两卫别克君越
wuyu_000023	最近车子停特着一月份处理
wuyu_000024	个么我上海那只阿是
wuyu_000025	哇感情真好唉
wuyu_000026	咦爸爸都回来啦开啥会
wuyu_000027	哈个回转去搞得哈哈叫咧咧
wuyu_000028	分手吧我吃腻了
wuyu_000029	勿管发生啥个事体
wuyu_000030	有辰光呢省得帮侬等额
wuyu_000031	乃帮我差勿多
wuyu_000032	风太阳没害你啦
wuyu_000033	预估量任务啊好难做
wuyu_000034	纳勒搿面还好伐
wuyu_000035	没有心想车子都没有
wuyu_000036	伊勿是还欢喜陈嘛
wuyu_000037	我朋友哪能来侬空间
wuyu_000038	阿哥肚皮饿了
wuyu_000039	嗯都今在开是
wuyu_000040	侬勿倒吾勿倒兄弟
wuyu_000041	侬阿里得人
wuyu_000042	小妖男我晓得哪位男子
wuyu_000043	要勿我带侬出去走走
wuyu_000044	好伐也是赖皮
wuyu_000045	那个醋还是熬个醋
wuyu_000046	我现在有点事体有空再来提
wuyu_000047	我不告白尽在腐女者
wuyu_000048	晓得吾是啥人伐教会中学
wuyu_000049	吾表妹伊种人跟侬像
wuyu_000050	困觉勿讲哉吃力哉
wuyu_000051	今朝夜到才看到
wuyu_000052	侬勒纺织大学
wuyu_000053	啦啦那短毛啦
wuyu_000054	你真被坤干了呢
wuyu_000055	勿来北京了吧
wuyu_000056	吾勿想考勿过嘞
wuyu_000057	萝卜考了哪呢能不能通过
wuyu_000058	做啥啊有啥关系啊
wuyu_000059	我有多少辰光能熬得起
wuyu_000060	挠挠巷哪哈伟大
wuyu_000061	当我分赃也来塞
wuyu_000062	侬啥个辰光唱额
wuyu_000063	在屋里向躺了多适意
wuyu_000064	妹妹最近如何
wuyu_000065	只晓得终于解放了
wuyu_000066	吾为啥体会失控着
wuyu_000067	吾相信侬侬勿会骗吾额
wuyu_000068	发烧后头混哪能办
wuyu_000069	工地公差临时摊
wuyu_000070	你真的关心我同学啊
wuyu_000071	这两天摆道句了又打
wuyu_000072	能写得与扫个嗨呀么么
wuyu_000073	今朝就一只节目
wuyu_000074	你是女的讲出去谁还在
wuyu_000075	不过吾至少啥侪没做
wuyu_000076	下午侬勿是看书吗
wuyu_000077	妈是我误会了
wuyu_000078	哥哥来接已经开了一半了
wuyu_000079	现在还没走出阴影
wuyu_000080	为的啥啊直接上来呀
wuyu_000081	我去四号楼埃面搭等㑚
wuyu_000082	哈我就晓得弄了嘿
wuyu_000083	把妞个名字报上
wuyu_000084	等侬开心了我再告诉侬
wuyu_000085	咬你上龙岗县的
wuyu_000086	接侬去洛阳看看呀
wuyu_000087	你是困该了妹妹
wuyu_000088	侬今朝勿是穷吃了吗
wuyu_000089	勿想困哪能办啊
wuyu_000090	结棍就好老团结的勿错
wuyu_000091	不过只好拨我看哦
wuyu_000092	不忙我了睡着
wuyu_000093	个么你哪哈有辰光上课啊
wuyu_000094	刚刚被仙人掌扎到了
wuyu_000095	分码你辣海屋里没事体做吗
wuyu_000096	勿是伐哪能老是没好
wuyu_000097	先别的伊讲来考虑
wuyu_000098	真的吾特侬又勿港瞎闲话
wuyu_000099	你累倒吧已经对你聊
wuyu_000100	炖绿豆汤一只固体也没
wuyu_000101	结婚啊啥个辰光
wuyu_000102	单独阿狗打个电话
